  Func                               Cost    Frame   Height
  _ZN24FixedwingPositionControl16control_positionERKN4math6VectorILj2EEES4_RK19position_setpoint_sS7_      300        0        7
> _ZN12FollowTarget9on_activeEv       300        0        9
> _ZN7Sensors3runEv                   300        0       10
  _ZN25MissionFeasibilityChecker24checkMissionItemValidityE9dm_item_tjb      300        0        7
  _ZN12MissionBlock23is_mission_item_reachedEv      300        0        8
> _ZN21MavlinkMissionManager24handle_mission_clear_allEPK17__mavlink_message      300        0        9
  _ZN7sensors18VotedSensorsUpdate14check_failoverERNS0_10SensorDataEPKc      300        0        7
  _ZN10GpsFailure12advance_gpsfEv      300        0        7
  _ZN7Mission16do_abort_landingEv      300        0        7
  _Z19do_gyro_calibrationPPv          300        0        8
  mavlink_vasprintf                   300       92        6
  up_input_capture_set                300       36        4
  _ZN10MavlinkFTP9_workListEPNS_13PayloadHeaderEb      300        0        8
> _ZN8Standard23update_transition_stateEv      300        0        8
> _ZN7Mavlink25send_statustext_emergencyEPKc      300        0        7
  _Z17mag_calibrate_allPPv            300        0        9
> _ZN7Mission13on_activationEv        300        0       10
> _ZN10GpsFailure13on_activationEv      300        0        8
  _ZN24MavlinkParametersManager4sendEy      300        0        9
  _ZN24FixedwingPositionControl9task_mainEv      300        0        9
  _ZN7Mission17read_mission_itemEbiP14mission_item_s      300        0        7
  _ZN15MavlinkReceiver14receive_threadEPv      300        0       11
  _ZN21MavlinkMissionManager4sendEy      300        0        9
  _Z17set_main_state_rcP16vehicle_status_sP25vehicle_global_position_sP24vehicle_local_position_sPb      300        0        8
> _ZL26_auth_method_arm_req_checkv      300        0        8
> _ZN15MavlinkReceiver12start_helperEPv      300        0       12
> _ZN6RCLoss9on_activeEv              300        0        9
  _ZN7Mission34set_current_offboard_mission_indexEj      300        0       10
> _ZN3RTL12set_rtl_itemEv             300        0        8
  _Z15enable_failsafeP16vehicle_status_sbPPvPKc      300        0        7
  _Z26calibrate_from_orientationPPviPbPF16calibrate_return25detect_orientation_returniS_ES_b      300        0        8
> _ZN8VtolType25check_quadchute_conditionEv      300        0        8
  _ZN7sensors18VotedSensorsUpdate14check_failoverEv      300        0        8
> _ZN5PX4IO20task_main_trampolineEiPPc      300        0        9
  _ZN13EngineFailure10advance_efEv.part.2      300        0        7
  _ZN5PX4IO14dsm_bind_ioctlEi         300        0        7
> _ZN12DataLinkLoss13on_activationEv      300        0        8
> _ZN21MavlinkMissionManager27handle_mission_request_bothEPK17__mavlink_message      300        0        8
> _ZN26MulticopterPositionControl9task_mainEv      300        0        8
  _Z13set_nav_stateP16vehicle_status_sP16actuator_armed_sP17commander_state_sPPv19link_loss_actions_tbbP14status_flags_sbS7_iii      300        0        9
  _ZN25MissionFeasibilityChecker20checkMissionFeasibleERK9mission_sfb      300        0        9
  _ZN21MavlinkMissionManager21update_geofence_countEj      300        0        8
  _Z22calibrate_cancel_checkPPvi      300        0        7
  _ZN25MissionFeasibilityChecker21checkFixedWingTakeoffE9dm_item_tjfbf      300        0        7
  _Z27check_invalid_pos_nav_stateP16vehicle_status_sbPPvP14status_flags_sbb      300        0        8
  _ZN10MavlinkFTP14handle_messageEPK17__mavlink_message      300        0       10
> _ZL22mag_calibration_worker25detect_orientation_returniPv      300        0        8
> _ZL24accel_calibration_worker25detect_orientation_returniPv      300        0        7
  _Z33do_accel_calibration_measurementsPPvRA3_A3_fRA3_S2_Pj      300        0        9
  _ZN7Mission22reset_offboard_missionER9mission_s      300        0        7
  _ZN6PX4FMU9pwm_ioctlEP4fileim       300        0        7
  _ZN21MavlinkMissionManager21update_active_missionEiji      300        0        8
  _ZN25MissionFeasibilityChecker25checkHomePositionAltitudeE9dm_item_tjfbRbb      300        0        7
> navigator_main                      300        0       10
  param_reset_excludes                300       36        8
  _ZN21MavlinkMissionManager20send_mission_currentEt      300        0        8
  _Z15arm_auth_updatey                300        0        7
  _Z16print_reject_armPKc             300        0        7
> _ZN9Navigator9task_mainEv           300        0       11
> _ZN21MavlinkMissionManager20handle_mission_countEPK17__mavlink_message      300        0        9
  _ZN12DataLinkLoss11advance_dllEv      300        0        7
> _ZL26_auth_method_two_arm_checkv      300        0        7
> _ZN7Mission9on_activeEv             300        0       12
  _Z20do_level_calibrationPPv         300        0        7
> _ZN7Mission11on_inactiveEv          300        0       12
  _ZN25MissionFeasibilityChecker14checkFixedwingE9dm_item_tjP20fw_pos_ctrl_status_sfbfb      300        0        8
  _ZN25MissionFeasibilityChecker13checkGeofenceE9dm_item_tjR8Geofencefb      300        0        7
> _ZN4Land9on_activeEv                300        0        9
> _ZN7Takeoff9on_activeEv             300        0        9
  _ZL27feedback_calibration_failedPPv      300        0        7
  _ZN24FixedwingPositionControl20vehicle_command_pollEv      300        0        8
  _Z20do_accel_calibrationPPv         300        0       10
  _ZN21MavlinkMissionManager17send_mission_itemEhht      300        0        8
> _ZN5PX4IO5ioctlEP4fileim            300        0        8
  _Z18detect_orientationPPviib        300        0        7
> _Z26check_if_batt_disconnectedPPv      300        0        7
> _ZN13EngineFailure13on_activationEv      300        0        8
> up_pwm_servo_init@./src/modules/px4iofirmware/CMakeFiles/px4io-v2.dir/__/__/drivers/stm32/drv_pwm_servo.c.obj      292       28        4
  up_pwm_trigger_init                 292       28        4
  _ZN22CameraInterfaceSeagull5setupEv      292        0        5
  _ZN13CameraTriggerC1Ev              292        0        8
  _ZN18CameraInterfacePWMC1Ev         292        0        7
  _ZN6PX4FMU20update_pwm_out_stateEb      292        0        5
  _ZN22CameraInterfaceSeagullC1Ev      292        0        7
> _ZN6PX4FMU5cycleEv                  292        0        8
> ver_main                            292       84        3
> camera_trigger_main                 292        0        9
  _ZN18CameraInterfacePWM5setupEv      292        0        5
  up_pwm_servo_init@./src/drivers/stm32/CMakeFiles/drivers__stm32.dir/drv_pwm_servo.c.obj      292       28        4
  param_export                        284       76        5
> flash_param_save                    284       76        5
  param_set_internal                  280       44        7
> bl_update_main                      276       68        3
  param_reset                         264       28        7
> io_timer_free_channel@./src/modules/px4iofirmware/CMakeFiles/px4io-v2.dir/__/__/drivers/stm32/drv_io_timer.c.obj      264       28        2
  io_timer_free_channel@./src/drivers/stm32/CMakeFiles/drivers__stm32.dir/drv_io_timer.c.obj      264       28        2
> gpio_led_main                       260       52        3
> reboot_main                         260       52        6
  mtd_get_geometry                    252       44        3
  up_pwm_servo_arm@./src/drivers/stm32/CMakeFiles/drivers__stm32.dir/drv_pwm_servo.c.obj      248       12        2
> up_pwm_servo_arm@./src/modules/px4iofirmware/CMakeFiles/px4io-v2.dir/__/__/drivers/stm32/drv_pwm_servo.c.obj      248       12        2
  mixer_tick                          248        0        4
> param_import_callback@./src/modules/systemlib/CMakeFiles/modules__systemlib.dir/flashparams/flashparams.c.obj      244       36        5
> write_otp                           244       36        4
  board_spi_reset                     236       28        3
> io_timer_set_enable@./src/modules/px4iofirmware/CMakeFiles/px4io-v2.dir/__/__/drivers/stm32/drv_io_timer.c.obj      236      236        1
  _param_notify_changes               236       28        6
  _ZN10ModuleBaseI6PX4FMUE4mainEiPPc      236        0        5
> fmu_main                            236        0        6
  _ZN6PX4FMU14custom_commandEiPPc      236        0        4
  io_timer_set_enable@./src/drivers/stm32/CMakeFiles/drivers__stm32.dir/drv_io_timer.c.obj      236      236        1
  param_load_default                  228       20        6
  board_peripheral_reset              228       20        3
> frsky_telemetry_main                228       20        3
  controls_tick                       216      108        4
  _ZN5SDP3X10init_sdp3xEv             208        0        3
  _ZN5trone5startEv                   208        0        3
  _ZN15MavlinkReceiver37handle_message_local_position_ned_covEP17__mavlink_message      208        0        7
  _ZN15MavlinkReceiver35handle_message_hil_state_quaternionEP17__mavlink_message      208        0        6
> _ZN7control10SuperBlock12updateParamsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/navigator_mode.cpp.obj      208        0        4
> _ZN12DataLinkLoss12set_dll_itemEv      208        0        3
> _ZN7PX4FLOW5cycleEv                 208        0        7
> _ZN7Mavlink21destroy_all_instancesEv      208        0        3
> land_detector_main                  208        0        6
  _ZN7mpu60005startE11MPU6000_BUS8Rotationii      208        0        5
  _ZN9Navigator23publish_geofence_resultEv      208        0        6
  _ZN7px4flow4testEv                  208        0        3
  _ZN13meas_airspeed4infoEv           208        0        3
> _ZN3px46logger13LogWriterFile9start_logEPKc      208        0        4
> _ZN19CameraInterfaceGPIO4infoEv      208        0        3
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/navigator_main.cpp.obj      208        0        4
  _ZN7hmc58835resetE11HMC5883_BUS      208        0        4
  _ZN10ModuleBaseI4Ekf2E4mainEiPPc      208        0        4
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/datalinkloss.cpp.obj      208        0        4
  _ZN7Sensors8adc_initEv              208        0        3
  _ZL5usagePKc@./src/systemcmds/mixer/CMakeFiles/systemcmds__mixer.dir/mixer.cpp.obj      208        0        3
> pwm_main                            208        0        7
  _ZN3px46logger6Logger10write_infoEPKci      208        0       11
> _ZN10Tailsitter15update_fw_stateEv      208        0        4
> _ZN3GPS11setBaudrateEj              208        0        3
> px4flow_main                        208        0        4
> _ZN3px46logger6Logger21perf_iterate_callbackEP15perf_ctr_headerPv      208        0       11
  _ZN15ms5525_airspeed5resetEv        208        0        3
  _ZN21MavlinkMissionManager20check_active_missionEv      208        0        5
> _ZN7MPU60005probeEv                 208        0        3
> _ZN16GPSDriverAshtech9configureERjN9GPSHelper10OutputModeE      208        0        3
  _ZN6PX4FMU11print_usageEPKc         208        0        3
  _ZN7px4flow4stopEv                  208        0        3
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/land.cpp.obj      208        0        4
  _ZN7mpu6000L8find_busE11MPU6000_BUS      208        0        3
> bst_main                            208        0        3
  _ZN10MavlinkFTP10_workWriteEPNS_13PayloadHeaderE      208        0        3
> _ZN7LIS3MDL5cycleEv                 208        0        7
> _ZN7control10SuperBlock12updateParamsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/rtl.cpp.obj      208        0        4
> _ZN13land_detector12LandDetector6_cycleEv      208        0        7
> _ZL5usagePKc@./src/systemcmds/pwm/CMakeFiles/systemcmds__pwm.dir/pwm.cpp.obj      208        0        3
> _ZN4uORB7Manager24process_received_messageEPKciPh      208        0        4
  _ZN26MulticopterPositionControl27calculate_velocity_setpointEf      208        0        4
  _ZN15MavlinkReceiver14handle_messageEP17__mavlink_message      208        0        9
  _ZN7sensors18VotedSensorsUpdate17parameters_updateEv      208        0        7
> _ZN24MavlinkStreamCommandLong4sendEy      208        0        5
  _ZN5trone4infoEv                    208        0        3
  _ZN26GroundRoverPositionControl17parameters_updateEv      208        0        7
  _ZN8Airspeed4initEv                 208        0        6
> _ZN7MPU60004initEv                  208        0        6
  _ZN15MavlinkReceiver29handle_message_serial_controlEP17__mavlink_message      208        0        5
  _ZN6ms56119calibrateEj10MS5611_BUS      208        0        4
  _ZN15MavlinkReceiver32handle_message_named_value_floatEP17__mavlink_message      208        0        6
> _ZN7Mavlink5startEiPPc              208        0        3
  _ZN3px46logger6Logger19ack_vehicle_commandERPvP17vehicle_command_sj      208        0        6
> _ZN6PWMSim9task_mainEv              208        0        6
  _Z12print_statusv                   208        0        3
  _ZN9NavigatorC1Ev                   208        0        9
  _ZN12MissionBlock13issue_commandEPK14mission_item_s      208        0        7
  _ZN7lsm303d5usageEv                 208        0        3
> _ZN4Land13on_activationEv           208        0        8
  _ZN4uORB10DeviceNode24process_received_messageEiPh      208        0        3
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/mc_pos_control/CMakeFiles/modules__mc_pos_control.dir/mc_pos_control_main.cpp.obj      208        0        4
  _ZN26MulticopterPositionControl16control_offboardEf      208        0        3
  _ZN12_GLOBAL__N_19play_tuneEj       208        0        3
> _ZN26TemperatureCalibrationGyro17reset_calibrationEv      208        0        4
  orb_advertise_queue                 208        0        5
  _ZN7control5Block12updateParamsEv      208        0        3
  _ZN4uORB10DeviceNode16print_statisticsEb      208        0        3
  _ZN3GPS11instantiateEiPPcNS_8InstanceE      208        0        3
  _ZN8Geofence11updateFenceEv         208        0        4
  _ZN12ets_airspeed4testEv            208        0        3
> _ZN9Tiltrotor23update_transition_stateEv      208        0        4
> _ZN22CameraInterfaceSeagull4infoEv      208        0        3
  _ZN7Sensors11print_usageEPKc        208        0        3
  _ZN15MavlinkReceiver30handle_message_distance_sensorEP17__mavlink_message      208        0        6
  _ZN7lsm303d7regdumpEv               208        0        5
  _ZN12GPSDriverUBX9parseCharEh       208        0        5
  _ZN13land_detector12LandDetector10task_spawnEiPPc      208        0        4
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/mission_block.cpp.obj      208        0        4
> _ZN3px46logger13LogWriterFile10run_helperEPv      208        0        4
> _ZN6PWMSim5ioctlEP4fileim           208        0        6
  _ZN15MavlinkReceiver26handle_message_logging_ackEP17__mavlink_message      208        0        8
> _ZN9SendEvent21initialize_trampolineEPv      208        0       10
  _ZN6ms56118find_busE10MS5611_BUS      208        0        3
  _ZN7mpu60005usageEv                 208        0        3
  _ZN7hmc58839start_busERNS_18hmc5883_bus_optionE8Rotation      208        0        3
  _ZN10MavlinkFTP9_workOpenEPNS_13PayloadHeaderEi      208        0        3
> _ZN7PX4FLOW5ioctlEP4fileim          208        0        7
  _ZN3px46logger6Logger19write_info_multipleEPKcS3_b      208        0       10
  _ZN15MavlinkReceiver44handle_message_set_position_target_local_nedEP17__mavlink_message      208        0        6
> _ZN4uORB16SubscriptionBaseD0Ev      208        0        4
  _ZN15launchdetection14LaunchDetector17getLaunchDetectedEv      208        0        3
  _ZN3Ekf27controlExternalVisionFusionEv      208        0        5
  _ZN3px46logger6Logger14create_log_dirEP2tm      208        0        3
  _ZN7control5Block18updatePublicationsEv      208        0        3
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/enginefailure.cpp.obj      208        0        4
  _ZN26MulticopterPositionControl17warn_rate_limitedEPKc      208        0        3
  _ZN19ECL_PitchController16control_attitudeERK15ECL_ControlData      208        0        3
  _ZN15MavlinkReceiver28handle_message_att_pos_mocapEP17__mavlink_message      208        0        6
> _ZN7control10SuperBlock12updateParamsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/follow_target.cpp.obj      208        0        4
  _ZN3px46logger6Logger9add_topicEPKcj      208        0        4
  _ZN6l3gd204infoEv                   208        0        5
> _ZN3GPS24run_trampoline_secondaryEiPPc      208        0        4
> _ZN7MPU92505resetEv                 208        0        8
  _ZN7lis3mdl4infoE11LIS3MDL_BUS      208        0        4
  _ZN5trone5resetEv                   208        0        3
  _ZN7mpu92505usageEv                 208        0        3
  _ZN7sensors18VotedSensorsUpdate17init_sensor_classEPK12orb_metadataRNS0_10SensorDataEh      208        0        4
  _ZN6ll40ls4testEv                   208        0        3
> _ZL13do_show_indexPKcb              208        0        6
  _ZN3Ekf11fuseOptFlowEv              208        0        4
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/systemlib/CMakeFiles/modules__systemlib.dir/battery.cpp.obj      208        0        4
> _ZL16_file_initializej              208        0        3
  _ZN9Navigator33publish_position_setpoint_tripletEv      208        0        6
> _ZN8ulanding5Radar9task_mainEv      208        0        3
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/navigator_mode.cpp.obj      208        0        4
  _ZN7mpu92507regdumpE11MPU9250_BUS      208        0        4
  _ZN9SendEvent10task_spawnEiPPc      208        0        3
  _ZN7sensors8RCUpdate7rc_pollERKNS_16ParameterHandlesE      208        0        7
  _ZN7SensorsC1Eb                     208        0        9
  _ZL25arm_auth_request_msg_sendv      208        0        6
  _ZN7lis3mdl5startE11LIS3MDL_BUS8Rotation      208        0        4
  _ZN7TakeoffC1EP9NavigatorPKc        208        0        8
  _ZN4sf0x4infoEv                     208        0        3
  _ZN3px46logger6Logger27add_estimator_replay_topicsEv      208        0        5
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/rtl.cpp.obj      208        0        4
  _ZN8VtolType11set_idle_fwEv         208        0        3
  _ZN6ms56119start_busERNS_17ms5611_bus_optionE19MS56XX_DEVICE_TYPES      208        0        3
> _ZN6vmount20InputMavlinkCmdMount11update_implEjPPNS_11ControlDataEb      208        0        7
  _ZN15MavlinkReceiver24handle_message_heartbeatEP17__mavlink_message      208        0        6
  _ZN24FixedwingPositionControl26fw_pos_ctrl_status_publishEv      208        0        6
  _ZN4sf0x5startEPKc                  208        0        4
  _ZN7sensors17update_parametersERKNS_16ParameterHandlesERNS_10ParametersE      208        0        6
  _ZN26MulticopterPositionControl14control_manualEf      208        0        6
> _ZN10ModuleBaseIN3px46logger6LoggerEE14run_trampolineEiPPc      208        0        6
> mc_att_control_main                 208        0        9
> _ZN9Tiltrotor15update_mc_stateEv      208        0        4
> _ZN4uORB16SubscriptionBaseC1EPK12orb_metadatajj      208        0        3
  _ZN7HMC58839calibrateEP4filej       208        0        3
> _ZN7control10SuperBlock12updateParamsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/enginefailure.cpp.obj      208        0        4
  _ZN3ADC5_tickEv                     208        0        8
  _ZN3Ekf16fuseVelPosHeightEv         208        0        4
  _ZN12FollowTargetC1EP9NavigatorPKc      208        0        8
  _ZN9SendEvent5startEv               208        0        9
  _ZN5PX4IO13io_get_statusEv          208        0        7
  _ZN4Ekf211print_usageEPKc           208        0        3
  _ZN14sdp3x_airspeed5startEi         208        0        7
  _ZN7px4flow5resetEv                 208        0        3
  _ZN3px46logger6Logger17get_log_file_nameEPcj      208        0        7
  _ZN5PX4IO16io_handle_statusEt       208        0        6
  _ZN4uORB7Manager17get_device_masterENS_6FlavorE      208        0        3
> vmount_main                         208        0        4
  _ZN7Sensors8adc_pollER17sensor_combined_s      208        0        7
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/takeoff.cpp.obj      208        0        4
  _ZN15MavlinkReceiver25handle_message_hil_sensorEP17__mavlink_message      208        0        6
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/mission.cpp.obj      208        0        4
  _ZN7sensors18VotedSensorsUpdate18initialize_sensorsEv      208        0        5
> _ZL13do_show_printPvt               208        0        6
> _ZN6RCLoss12set_rcl_itemEv          208        0        3
  _ZN19VtolAttitudeControl5startEv      208        0        3
  _ZN10GpsFailure13set_gpsf_itemEv      208        0        3
  _ZN3px46logger16LogWriterMavlink13write_messageEPvj      208        0        7
  _ZN5PX4IO15set_update_rateEi        208        0        3
> _ZL10do_comparePKcPPcj16COMPARE_OPERATOR      208        0        6
  _ZN14sdp3x_airspeed4stopEv          208        0        3
  _ZN11MavlinkULog10handle_ackE23__mavlink_logging_ack_t      208        0        7
  _ZN15MavlinkReceiver28handle_message_gps_rtcm_dataEP17__mavlink_message      208        0        6
  _ZN15launchdetection14LaunchDetectorC1Ev      208        0        9
  _ZN9SendEvent16process_commandsEv      208        0        7
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/loiter.cpp.obj      208        0        4
  _ZN3px46logger9LogWriter13write_messageEPvjy      208        0        8
> _ZN7HMC58835ioctlEP4fileim          208        0        4
> _ZN3GPS12print_statusEv             208        0        3
  _ZN15MavlinkReceiver38handle_message_attitude_quaternion_covEP17__mavlink_message      208        0        7
> _ZN10ModuleBaseI7SensorsE14run_trampolineEiPPc      208        0       11
  _ZN5trone4stopEv                    208        0        3
  _ZN5PX4IOC1EPN6device6DeviceE       208        0        9
  _ZN15MavlinkReceiverC1EP7Mavlink      208        0        6
> _ZN7control10SuperBlock19updateSubscriptionsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/rcloss.cpp.obj      208        0        4
> _ZN26TemperatureCalibrationBase13set_parameterEPKcjPKv.isra.0@./src/modules/events/CMakeFiles/modules__events.dir/temperature_calibration/accel.cpp.obj      208        0        3
  _Z5usagePKc                         208        0        3
  _ZN12_GLOBAL__N_113get_interfaceEv      208        0        4
  _ZN8Geofence12insideCircleERKNS_11PolygonInfoEddf      208        0        3
  _ZN3px46logger6Logger14custom_commandEiPPc      208        0        4
  _ZN7mpu92505startE11MPU9250_BUS8Rotationb      208        0        5
  _ZN3px46logger6Logger10write_infoEPKcj      208        0       11
  _ZN15MavlinkReceiver20handle_message_debugEP17__mavlink_message      208        0        6
  _ZN3Ekf17predictCovarianceEv        208        0        4
  _ZN7mpu60005resetE11MPU6000_BUS      208        0        4
  _ZN6PWMSim8set_modeENS_4ModeE       208        0        3
  _ZN7mpu92504stopE11MPU9250_BUS      208        0        4
  _ZN4uORB7Manager19orb_advertise_multiEPK12orb_metadataPKvPiij      208        0        4
  _ZN3px46logger9LogWriterC1Ehjj      208        0        3
> _ZN10ModuleBaseI6PX4FMUE14run_trampolineEiPPc      208        0        4
> camera_feedback_main                208        0        7
  _ZN13DataValidator5printEv          208        0        3
> _ZN21MavlinkMissionManager27handle_mission_request_listEPK17__mavlink_message      208        0        5
> _ZN7control10SuperBlock12updateParamsEv@./src/lib/launchdetection/CMakeFiles/lib__launchdetection.dir/CatapultLaunchMethod.cpp.obj      208        0        4
> _ZN13land_detector12LandDetector12print_statusEv      208        0        3
  _ZN6vmount20InputMavlinkCmdMount20_ack_vehicle_commandEP17vehicle_command_s      208        0        6
  _ZN10ModuleBaseIN13land_detector12LandDetectorEE4mainEiPPc      208        0        5
> _ZN3Ekf12fuseAirspeedEv             208        0        4
  _ZN7mpu92508find_busE11MPU9250_BUS      208        0        3
  _ZN9SendEvent14answer_commandERK17vehicle_command_sj      208        0        6
  _ZN3px46logger6Logger13write_messageEPvj      208        0        9
  _ZN22TemperatureCalibration19publish_led_controlER13led_control_s      208        0        6
  _ZN15ms5525_airspeed4stopEv         208        0        3
  _ZN10ModuleBaseIN3px46logger6LoggerEE4mainEiPPc      208        0        5
  _ZN3px46logger6Logger10write_infoEPKcS3_      208        0       10
  _ZN6l3gd207regdumpEv                208        0        5
  _ZN7lis3mdl9start_busERNS_18lis3mdl_bus_optionE8Rotation      208        0        3
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/follow_target.cpp.obj      208        0        4
  _ZN3Ekf16controlMagFusionEv         208        0        6
> sf0x_main                           208        0        5
> _ZN11MPU9250_mag4initEv             208        0        6
> _ZN7control10SuperBlock18updatePublicationsEv@./src/modules/navigator/CMakeFiles/modules__navigator.dir/takeoff.cpp.obj      208        0        4
